areaCode,areaName,areaType,date,newAdmissions,newCasesByPublishDate,newPeopleVaccinatedSecondDoseByPublishDate,newTestsByPublishDate
E92000001,England,nation,2021-12-13,,44931,,
E92000001,England,nation,2021-12-12,,40713,24900,1140279
E92000001,England,nation,2021-12-11,696,48540,34061,927390
E92000001,England,nation,2021-12-10,707,48908,28294,1082643
E92000001,England,nation,2021-12-09,799,43550,29840,1190280
E92000001,England,nation,2021-12-08,754,44019,25110,1163361
E92000001,England,nation,2021-12-07,799,38866,23206,943261
E92000001,England,nation,2021-12-06,736,41525,21622,1020251
E92000001,England,nation,2021-12-05,728,37396,20872,1027196
E92000001,England,nation,2021-12-04,635,39949,34276,795714
E92000001,England,nation,2021-12-03,624,43888,26469,958315
E92000001,England,nation,2021-12-02,719,45880,26919,1037506
E92000001,England,nation,2021-12-01,698,41519,28070,1083562
E92000001,England,nation,2021-11-30,699,33590,27933,914887
E92000001,England,nation,2021-11-29,669,34906,22601,940489
E92000001,England,nation,2021-11-28,607,32136,22482,913689
E92000001,England,nation,2021-11-27,609,35798,30616,668758
E92000001,England,nation,2021-11-26,620,42272,21923,796731
E92000001,England,nation,2021-11-25,650,40382,19615,942502
E92000001,England,nation,2021-11-24,752,36511,20048,985329
E92000001,England,nation,2021-11-23,659,36550,18562,817812
E92000001,England,nation,2021-11-22,602,36478,15567,913444
E92000001,England,nation,2021-11-21,648,33513,11240,903819
E92000001,England,nation,2021-11-20,611,36339,21592,664782
E92000001,England,nation,2021-11-19,637,37006,18723,777180
E92000001,England,nation,2021-11-18,697,39315,17429,895963
E92000001,England,nation,2021-11-17,727,30638,18511,945489
E92000001,England,nation,2021-11-16,713,30853,16897,717163
E92000001,England,nation,2021-11-15,695,31440,15525,850445
E92000001,England,nation,2021-11-14,678,29404,11959,827911
E92000001,England,nation,2021-11-13,655,33493,22806,608657
E92000001,England,nation,2021-11-12,729,33155,19229,742052
E92000001,England,nation,2021-11-11,797,35472,19560,880925
E92000001,England,nation,2021-11-10,821,31541,43996,929295
E92000001,England,nation,2021-11-09,808,27872,18208,757518
E92000001,England,nation,2021-11-08,850,24979,17398,861218
E92000001,England,nation,2021-11-07,739,23779,11202,792077
E92000001,England,nation,2021-11-06,688,26250,22869,599089
E92000001,England,nation,2021-11-05,686,28490,19037,734420
E92000001,England,nation,2021-11-04,717,30166,17167,838117
E92000001,England,nation,2021-11-03,807,34317,17374,895698
E92000001,England,nation,2021-11-02,891,28531,17807,772399
E92000001,England,nation,2021-11-01,899,32081,15751,850669
E92000001,England,nation,2021-10-31,860,31479,11464,866687
E92000001,England,nation,2021-10-30,741,36204,22479,617629
E92000001,England,nation,2021-10-29,840,36853,19175,735186
E92000001,England,nation,2021-10-28,888,33903,19586,771876
E92000001,England,nation,2021-10-27,955,37502,18740,809425
E92000001,England,nation,2021-10-26,911,32280,19499,733902
E92000001,England,nation,2021-10-25,865,33309,18251,729721
E92000001,England,nation,2021-10-24,829,33221,14138,739851
E92000001,England,nation,2021-10-23,756,41259,27527,656760
E92000001,England,nation,2021-10-22,760,41745,22423,824725
E92000001,England,nation,2021-10-21,799,44363,22027,912855
E92000001,England,nation,2021-10-20,903,41498,21701,1008194
E92000001,England,nation,2021-10-19,894,36712,21141,799095
E92000001,England,nation,2021-10-18,896,39473,20668,853034
E92000001,England,nation,2021-10-17,828,38543,14545,897406
E92000001,England,nation,2021-10-16,743,39624,30440,691155
E92000001,England,nation,2021-10-15,752,37691,25380,826424
E92000001,England,nation,2021-10-14,730,38488,23489,896469
E92000001,England,nation,2021-10-13,752,36458,24828,959549
E92000001,England,nation,2021-10-12,760,33287,22447,800480
E92000001,England,nation,2021-10-11,685,32349,20350,883867
E92000001,England,nation,2021-10-10,606,31096,15643,879451
E92000001,England,nation,2021-10-09,613,31259,29751,655126
E92000001,England,nation,2021-10-08,619,32157,25006,798238
E92000001,England,nation,2021-10-07,634,33305,24208,892854
E92000001,England,nation,2021-10-06,632,33450,24135,959529
E92000001,England,nation,2021-10-05,658,28846,24253,772715
E92000001,England,nation,2021-10-04,627,28251,24746,881998
E92000001,England,nation,2021-10-03,577,25176,17502,924980
E92000001,England,nation,2021-10-02,549,26794,30849,650177
